1.000e+00	mua, absorption coefficient [1/cm]
100.0000	mus, scattering coefficient [1/cm]
0.9000	g, anisotropy [-]
1.4000	n1, refractive index of tissue
1.4000	n2, refractive index of outside medium
0	mcflag
0.0000	radius, radius of flat beam or 1/e radius of Gaussian beam [cm]
0.1000	waist, 1/e waist of focus [cm]
0.0000	xs, x position of isotropic source [cm]
0.0000	ys, y
0.0000	zs, z
101	NR
101	NZ
0.00200	dr
0.00200	dz
1.0e+06	Nphotons
0.000000e+00	Specular reflectance
5.990796e-01	Absorbed fraction
4.009203e-01	Escaping fraction
0.0	0.00133	0.00311	0.00507	0.00705	0.00904	0.01103	0.01303	0.01502	0.01702	0.01902	0.02102	0.02301	0.02501	0.02701	0.02901	0.03101	0.03301	0.03501	0.03701	0.03901	0.04101	0.04301	0.04501	0.04701	0.04901	0.05101	0.05301	0.05501	0.05701	0.05901	0.06101	0.06301	0.06501	0.06700	0.06900	0.07100	0.07300	0.07500	0.07700	0.07900	0.08100	0.08300	0.08500	0.08700	0.08900	0.09100	0.09300	0.09500	0.09700	0.09900	0.10100	0.10300	0.10500	0.10700	0.10900	0.11100	0.11300	0.11500	0.11700	0.11900	0.12100	0.12300	0.12500	0.12700	0.12900	0.13100	0.13300	0.13500	0.13700	0.13900	0.14100	0.14300	0.14500	0.14700	0.14900	0.15100	0.15300	0.15500	0.15700	0.15900	0.16100	0.16300	0.16500	0.16700	0.16900	0.17100	0.17300	0.17500	0.17700	0.17900	0.18100	0.18300	0.18500	0.18700	0.18900	0.19100	0.19300	0.19500	0.19700	0.19900	0.20100
0.0	2.686009613954e+02	8.998950288375e+01	5.549168551099e+01	4.000784635287e+01	3.075981801323e+01	2.603967420138e+01	2.171535436125e+01	1.928964940974e+01	1.741082960652e+01	1.473105689237e+01	1.351692772492e+01	1.268985373349e+01	1.195962181096e+01	1.090131489727e+01	9.818362434890e+00	9.259344007489e+00	8.827361360239e+00	8.473106304751e+00	7.771746496108e+00	7.332187489195e+00	7.058402123378e+00	6.793443537929e+00	6.302497614486e+00	6.107847843949e+00	5.897898974471e+00	5.642603045833e+00	5.458756241936e+00	5.207879207910e+00	5.065860605720e+00	4.738436684944e+00	4.556623980089e+00	4.472582629139e+00	4.235218999135e+00	4.125521441669e+00	3.948902407084e+00	3.804168212318e+00	3.660147586087e+00	3.591380228622e+00	3.531644604447e+00	3.353295616884e+00	3.285616327648e+00	3.096220941913e+00	3.066032313537e+00	2.984513109511e+00	2.819110807015e+00	2.766355795593e+00	2.688997516533e+00	2.637134730938e+00	2.542059350026e+00	2.398024568042e+00	2.408486809269e+00	2.286481495361e+00	2.271987733442e+00	2.192495644070e+00	2.078022639339e+00	2.050878396520e+00	2.030115377237e+00	1.957756999262e+00	1.907655395597e+00	1.861975840008e+00	1.766616768834e+00	1.738043377987e+00	1.684817084364e+00	1.656516579191e+00	1.611711659272e+00	1.579247387525e+00	1.548280288489e+00	1.487048832253e+00	1.444728040183e+00	1.368632306859e+00	1.348970313737e+00	1.319359790861e+00	1.308810955521e+00	1.270349431927e+00	1.246615598164e+00	1.197600170672e+00	1.183559499370e+00	1.135319231611e+00	1.117692639328e+00	1.055080103512e+00	1.096730659026e+00	1.045386263163e+00	9.774602249455e-01	9.572691378090e-01	9.269878084674e-01	9.241839557983e-01	9.037322914414e-01	8.710051530896e-01	8.827320614884e-01	8.293887092906e-01	8.082232806152e-01	7.958144295661e-01	7.865776077617e-01	7.520736338792e-01	7.678470803169e-01	7.160700819599e-01	7.058797575351e-01	7.067531232678e-01	6.762662029991e-01	6.550511234084e-01	4.420111048381e+01
0.00100	 8.027042e+04	 2.963848e+02	 1.392821e+02	 9.457163e+01	 7.479081e+01	 5.726844e+01	 4.941957e+01	 4.090611e+01	 3.578200e+01	 3.302656e+01	 2.979992e+01	 2.731318e+01	 2.518013e+01	 2.180557e+01	 2.051012e+01	 1.969705e+01	 1.916019e+01	 1.747375e+01	 1.592940e+01	 1.542858e+01	 1.405235e+01	 1.300482e+01	 1.285270e+01	 1.337163e+01	 1.216696e+01	 1.185515e+01	 1.085106e+01	 1.150183e+01	 1.060407e+01	 9.867686e+00	 9.236416e+00	 9.201736e+00	 8.698634e+00	 8.500725e+00	 7.960830e+00	 7.583295e+00	 7.550389e+00	 7.381718e+00	 7.282287e+00	 6.656189e+00	 6.800355e+00	 6.339130e+00	 6.459603e+00	 5.782306e+00	 5.955705e+00	 5.389654e+00	 5.448810e+00	 5.254801e+00	 5.222632e+00	 4.708185e+00	 4.806493e+00	 4.620788e+00	 4.485669e+00	 4.216127e+00	 4.203565e+00	 4.100646e+00	 4.220543e+00	 3.885352e+00	 4.085973e+00	 3.587951e+00	 3.433497e+00	 3.518770e+00	 3.450724e+00	 3.087524e+00	 3.149298e+00	 3.246455e+00	 3.082630e+00	 2.848914e+00	 2.950797e+00	 2.687629e+00	 2.607848e+00	 2.620379e+00	 2.591740e+00	 2.575934e+00	 2.512978e+00	 2.323070e+00	 2.374809e+00	 2.210049e+00	 2.037879e+00	 2.194993e+00	 2.063336e+00	 1.991984e+00	 1.990801e+00	 1.725656e+00	 1.742471e+00	 1.785164e+00	 1.832711e+00	 1.719016e+00	 1.698454e+00	 1.630224e+00	 1.600560e+00	 1.589328e+00	 1.487867e+00	 1.472842e+00	 1.539956e+00	 1.331569e+00	 1.336343e+00	 1.280112e+00	 1.309129e+00	 1.215457e+00	 8.506251e+01
0.00300	 7.924605e+04	 6.153390e+02	 2.319171e+02	 1.383478e+02	 9.400616e+01	 7.114922e+01	 5.900257e+01	 4.792147e+01	 4.194928e+01	 3.789158e+01	 3.410759e+01	 3.146007e+01	 2.684339e+01	 2.510296e+01	 2.352761e+01	 2.185854e+01	 2.008871e+01	 1.955311e+01	 1.808033e+01	 1.656263e+01	 1.618281e+01	 1.528861e+01	 1.400935e+01	 1.402373e+01	 1.400011e+01	 1.300830e+01	 1.226422e+01	 1.171357e+01	 1.109661e+01	 1.009718e+01	 1.081284e+01	 9.594811e+00	 9.172596e+00	 9.171583e+00	 8.775634e+00	 8.519125e+00	 8.231630e+00	 7.960299e+00	 7.752040e+00	 7.398589e+00	 6.997547e+00	 7.245680e+00	 6.717086e+00	 6.201254e+00	 6.120492e+00	 6.149291e+00	 5.749013e+00	 5.818315e+00	 5.650618e+00	 5.185961e+00	 5.106197e+00	 4.972853e+00	 4.825862e+00	 4.756737e+00	 4.661008e+00	 4.439864e+00	 4.432171e+00	 4.402690e+00	 4.253301e+00	 4.168747e+00	 3.755104e+00	 3.835857e+00	 3.681776e+00	 3.638449e+00	 3.573167e+00	 3.331371e+00	 3.148944e+00	 3.208950e+00	 3.113383e+00	 2.990931e+00	 2.929319e+00	 2.855671e+00	 2.845210e+00	 2.698369e+00	 2.605910e+00	 2.502696e+00	 2.453676e+00	 2.375979e+00	 2.400263e+00	 2.249293e+00	 2.070190e+00	 2.043438e+00	 2.153874e+00	 1.926646e+00	 1.936348e+00	 1.910730e+00	 1.871726e+00	 1.804242e+00	 1.769173e+00	 1.931587e+00	 1.747733e+00	 1.666575e+00	 1.678244e+00	 1.663243e+00	 1.526884e+00	 1.552962e+00	 1.541137e+00	 1.398490e+00	 1.406597e+00	 1.347295e+00	 9.146873e+01
0.00500	 7.649756e+04	 1.202543e+03	 3.697468e+02	 1.902836e+02	 1.237271e+02	 9.134453e+01	 7.221925e+01	 5.961062e+01	 5.163229e+01	 4.478137e+01	 3.741051e+01	 3.540774e+01	 3.193114e+01	 2.822346e+01	 2.635925e+01	 2.385816e+01	 2.170790e+01	 2.168932e+01	 1.983763e+01	 1.851809e+01	 1.763967e+01	 1.743813e+01	 1.584194e+01	 1.558507e+01	 1.496397e+01	 1.388904e+01	 1.325097e+01	 1.246615e+01	 1.218301e+01	 1.135557e+01	 1.049170e+01	 1.075550e+01	 1.014017e+01	 9.521882e+00	 9.489519e+00	 9.220576e+00	 9.230499e+00	 8.028888e+00	 8.274510e+00	 7.928495e+00	 7.655058e+00	 7.499318e+00	 7.273460e+00	 6.631915e+00	 6.381757e+00	 6.460129e+00	 6.029681e+00	 6.127510e+00	 5.639107e+00	 5.594122e+00	 5.558586e+00	 4.960730e+00	 5.150837e+00	 4.961549e+00	 4.991969e+00	 4.573262e+00	 4.642098e+00	 4.546205e+00	 4.524895e+00	 4.093647e+00	 3.864693e+00	 3.943429e+00	 4.068497e+00	 3.717381e+00	 3.676931e+00	 3.616800e+00	 3.435654e+00	 3.195597e+00	 3.239893e+00	 3.276590e+00	 3.093626e+00	 2.880566e+00	 2.852211e+00	 2.818178e+00	 2.843376e+00	 2.688553e+00	 2.601629e+00	 2.519565e+00	 2.495150e+00	 2.528945e+00	 2.335371e+00	 2.175535e+00	 2.323185e+00	 2.156319e+00	 2.160498e+00	 2.092720e+00	 2.003899e+00	 1.947743e+00	 1.970040e+00	 1.899154e+00	 1.933348e+00	 1.753040e+00	 1.778534e+00	 1.624343e+00	 1.644296e+00	 1.634675e+00	 1.618007e+00	 1.531189e+00	 1.422318e+00	 1.441368e+00	 9.703692e+01
0.00700	 7.228900e+04	 1.927334e+03	 5.489004e+02	 2.597892e+02	 1.630194e+02	 1.143859e+02	 8.633832e+01	 6.993626e+01	 5.913281e+01	 4.952592e+01	 4.568564e+01	 3.901198e+01	 3.405485e+01	 3.228128e+01	 2.794975e+01	 2.684044e+01	 2.465246e+01	 2.271730e+01	 2.152808e+01	 2.054888e+01	 1.884971e+01	 1.786978e+01	 1.768384e+01	 1.654083e+01	 1.576602e+01	 1.494958e+01	 1.376950e+01	 1.313439e+01	 1.252140e+01	 1.209688e+01	 1.131527e+01	 1.121205e+01	 1.134849e+01	 1.025541e+01	 1.016527e+01	 9.649282e+00	 9.533278e+00	 8.910409e+00	 8.664045e+00	 8.047397e+00	 8.389510e+00	 7.623298e+00	 7.343149e+00	 6.828145e+00	 6.970569e+00	 6.553234e+00	 6.426855e+00	 6.138715e+00	 6.311508e+00	 6.186825e+00	 5.695083e+00	 5.636268e+00	 5.192240e+00	 5.031943e+00	 4.998372e+00	 4.924881e+00	 4.997239e+00	 4.792409e+00	 4.642943e+00	 4.314344e+00	 4.353456e+00	 4.025884e+00	 4.014029e+00	 3.893608e+00	 3.893460e+00	 3.827254e+00	 3.927936e+00	 3.523748e+00	 3.396471e+00	 3.409711e+00	 3.303683e+00	 3.299158e+00	 3.178842e+00	 3.000467e+00	 2.937292e+00	 2.701919e+00	 2.843142e+00	 2.648338e+00	 2.662498e+00	 2.683933e+00	 2.480995e+00	 2.363124e+00	 2.415496e+00	 2.347776e+00	 2.131230e+00	 2.148107e+00	 2.134851e+00	 2.055206e+00	 1.979500e+00	 1.931560e+00	 1.938582e+00	 1.861886e+00	 1.828145e+00	 1.761438e+00	 1.729623e+00	 1.665765e+00	 1.695055e+00	 1.545612e+00	 1.503944e+00	 1.362660e+00	 1.019940e+02
0.00900	 6.701011e+04	 2.727929e+03	 7.389779e+02	 3.479887e+02	 2.035957e+02	 1.383334e+02	 1.013397e+02	 8.392900e+01	 6.618906e+01	 5.676113e+01	 4.800847e+01	 4.245453e+01	 3.650341e+01	 3.430454e+01	 3.211034e+01	 2.977101e+01	 2.756933e+01	 2.466492e+01	 2.248664e+01	 2.176479e+01	 2.094836e+01	 1.890913e+01	 1.801214e+01	 1.781305e+01	 1.599601e+01	 1.567061e+01	 1.465037e+01	 1.413732e+01	 1.313076e+01	 1.306407e+01	 1.236766e+01	 1.114484e+01	 1.157713e+01	 1.103724e+01	 1.031807e+01	 1.037671e+01	 1.003807e+01	 9.333393e+00	 8.887188e+00	 8.541349e+00	 8.597027e+00	 7.936005e+00	 7.734448e+00	 7.291884e+00	 7.485956e+00	 7.100394e+00	 6.944928e+00	 6.579911e+00	 6.412698e+00	 6.176707e+00	 5.910988e+00	 5.674777e+00	 5.864360e+00	 5.681349e+00	 5.623354e+00	 5.212661e+00	 5.244832e+00	 4.923423e+00	 4.804925e+00	 4.689048e+00	 4.555341e+00	 4.345447e+00	 4.389399e+00	 4.192321e+00	 3.902621e+00	 3.929787e+00	 3.801041e+00	 3.632686e+00	 3.584361e+00	 3.531153e+00	 3.451626e+00	 3.241915e+00	 3.262024e+00	 3.201736e+00	 3.194395e+00	 3.055915e+00	 2.780533e+00	 2.812435e+00	 2.834355e+00	 2.812416e+00	 2.624834e+00	 2.476418e+00	 2.474648e+00	 2.459166e+00	 2.384460e+00	 2.295760e+00	 2.291220e+00	 2.240408e+00	 2.078752e+00	 2.030848e+00	 2.014916e+00	 1.930259e+00	 1.831049e+00	 1.791147e+00	 1.802762e+00	 1.761017e+00	 1.609285e+00	 1.689496e+00	 1.569726e+00	 1.559690e+00	 1.056681e+02
0.01100	 6.107699e+04	 3.488877e+03	 9.965410e+02	 4.502789e+02	 2.549616e+02	 1.663156e+02	 1.209994e+02	 9.328120e+01	 7.523555e+01	 6.476001e+01	 5.333819e+01	 4.613869e+01	 4.299104e+01	 3.809572e+01	 3.413782e+01	 3.169176e+01	 2.744910e+01	 2.671593e+01	 2.505354e+01	 2.350337e+01	 2.171487e+01	 2.067123e+01	 1.915401e+01	 1.787181e+01	 1.729153e+01	 1.601191e+01	 1.541115e+01	 1.525247e+01	 1.399239e+01	 1.299361e+01	 1.354430e+01	 1.256891e+01	 1.278148e+01	 1.189202e+01	 1.129291e+01	 1.023390e+01	 1.035356e+01	 9.869842e+00	 9.438160e+00	 9.563525e+00	 8.887220e+00	 8.635641e+00	 8.126852e+00	 8.100393e+00	 7.606945e+00	 7.291634e+00	 7.051846e+00	 6.684914e+00	 6.489499e+00	 6.353460e+00	 6.292468e+00	 6.017746e+00	 6.174041e+00	 5.608800e+00	 5.468607e+00	 5.286201e+00	 5.379189e+00	 5.190858e+00	 4.780815e+00	 4.641393e+00	 4.553225e+00	 4.706380e+00	 4.424489e+00	 4.519177e+00	 4.110772e+00	 3.931566e+00	 3.904237e+00	 3.762966e+00	 3.730587e+00	 3.730189e+00	 3.443302e+00	 3.354537e+00	 3.459016e+00	 3.204915e+00	 3.125304e+00	 2.990108e+00	 2.848489e+00	 2.860989e+00	 2.806498e+00	 2.741688e+00	 2.699841e+00	 2.577026e+00	 2.668524e+00	 2.582056e+00	 2.492696e+00	 2.369535e+00	 2.290722e+00	 2.205044e+00	 2.220921e+00	 2.082952e+00	 2.031017e+00	 1.940655e+00	 1.920528e+00	 1.874906e+00	 1.874301e+00	 1.907185e+00	 1.824206e+00	 1.699662e+00	 1.720906e+00	 1.738517e+00	 1.101031e+02
0.01300	 5.516780e+04	 4.165149e+03	 1.239739e+03	 5.459689e+02	 3.101398e+02	 2.012146e+02	 1.372941e+02	 1.080498e+02	 8.750903e+01	 7.102245e+01	 6.055313e+01	 5.297265e+01	 4.755631e+01	 4.220927e+01	 3.706431e+01	 3.287984e+01	 3.082911e+01	 2.783245e+01	 2.612884e+01	 2.463627e+01	 2.315795e+01	 2.226018e+01	 2.015115e+01	 1.878723e+01	 1.831681e+01	 1.731933e+01	 1.704718e+01	 1.531051e+01	 1.535124e+01	 1.394147e+01	 1.347813e+01	 1.315908e+01	 1.172091e+01	 1.206653e+01	 1.142683e+01	 1.071269e+01	 1.090333e+01	 9.963530e+00	 9.546104e+00	 9.349201e+00	 9.426136e+00	 8.690681e+00	 8.448279e+00	 8.594562e+00	 8.274636e+00	 8.052003e+00	 7.463076e+00	 7.385839e+00	 6.989449e+00	 6.612546e+00	 6.615012e+00	 6.213769e+00	 6.178250e+00	 5.909241e+00	 5.857745e+00	 5.567978e+00	 5.301067e+00	 5.242614e+00	 5.218945e+00	 4.865300e+00	 4.717507e+00	 4.498873e+00	 4.578323e+00	 4.385337e+00	 4.353791e+00	 4.181372e+00	 4.027170e+00	 3.978361e+00	 3.926166e+00	 3.910159e+00	 3.763343e+00	 3.549543e+00	 3.607208e+00	 3.378629e+00	 3.341774e+00	 3.208572e+00	 3.067451e+00	 2.994713e+00	 2.992708e+00	 2.800034e+00	 2.723328e+00	 2.709594e+00	 2.660471e+00	 2.657361e+00	 2.533834e+00	 2.478872e+00	 2.468690e+00	 2.331341e+00	 2.303954e+00	 2.191271e+00	 2.163612e+00	 2.078626e+00	 1.940734e+00	 2.052014e+00	 2.003434e+00	 1.824191e+00	 1.832122e+00	 1.814357e+00	 1.809849e+00	 1.717233e+00	 1.131528e+02
0.01500	 4.916437e+04	 4.644521e+03	 1.470336e+03	 6.504092e+02	 3.648688e+02	 2.354785e+02	 1.675004e+02	 1.245408e+02	 9.696880e+01	 8.079909e+01	 6.698711e+01	 5.754881e+01	 5.203970e+01	 4.541414e+01	 3.960630e+01	 3.625546e+01	 3.190857e+01	 3.073229e+01	 2.832805e+01	 2.594202e+01	 2.495286e+01	 2.315807e+01	 2.127698e+01	 2.035004e+01	 1.952752e+01	 1.835882e+01	 1.755710e+01	 1.606454e+01	 1.644133e+01	 1.485515e+01	 1.384559e+01	 1.366115e+01	 1.365749e+01	 1.284019e+01	 1.191428e+01	 1.159537e+01	 1.074179e+01	 1.060127e+01	 1.051145e+01	 9.855261e+00	 9.241284e+00	 9.077346e+00	 9.003306e+00	 8.633315e+00	 8.237029e+00	 8.409756e+00	 7.692447e+00	 7.760635e+00	 7.372465e+00	 7.045248e+00	 6.995736e+00	 6.846733e+00	 6.214147e+00	 6.047048e+00	 5.824031e+00	 5.751918e+00	 5.759794e+00	 5.403443e+00	 5.127461e+00	 5.081225e+00	 4.921376e+00	 4.842591e+00	 4.711942e+00	 4.572971e+00	 4.386469e+00	 4.251869e+00	 4.158209e+00	 4.146932e+00	 3.884499e+00	 3.811353e+00	 3.794979e+00	 3.712996e+00	 3.553808e+00	 3.478455e+00	 3.284586e+00	 3.275860e+00	 3.355499e+00	 3.021759e+00	 2.949150e+00	 2.802572e+00	 3.017304e+00	 2.765771e+00	 2.807617e+00	 2.650865e+00	 2.538870e+00	 2.561258e+00	 2.472708e+00	 2.297794e+00	 2.277445e+00	 2.292080e+00	 2.166986e+00	 2.174471e+00	 2.085014e+00	 2.020874e+00	 1.967889e+00	 1.931127e+00	 1.873792e+00	 1.866980e+00	 1.760752e+00	 1.742507e+00	 1.169151e+02
